SUBJECT,NBR,COURSE NAME,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D,F,W,AVG GPA
MATH,142,Calculus/Integration,"ERLBAUM, S",35,2,6,2,2,3,7,1,2,1,1,3,5,2.763
MATH,142,Calculus/Integration,"RONG, Y",25,2,0,0,3,1,1,2,3,3,5,2,3,2.014
MATH,142,Calculus/Integration,"GANGARAM, E",30,1,0,0,0,7,2,2,5,1,2,5,5,1.948
MATH,142,Calculus/Integration,"KOROVESHI, B",28,0,1,1,0,1,2,4,6,4,2,5,2,1.773
MATH,142,Calculus/Integration,"KOROVESHI, B",30,1,1,0,1,1,0,3,3,8,0,7,5,1.632
MATH,143,Calculus-Infinite Series,"ERLBAUM, S",31,2,4,1,1,1,1,4,3,0,6,5,2,2.068
MATH,143,Calculus-Infinite Series,"WILSON, S",24,0,0,0,1,4,5,1,2,2,0,4,5,2.026
MATH,143,Calculus-Infinite Series,"BRAUN, M",28,1,3,0,3,0,0,4,2,1,4,9,1,1.659
MATH,143,Calculus-Infinite Series,"ADRIAN, M",29,1,2,0,0,1,0,1,3,2,2,6,11,1.594
MATH,143,Calculus-Infinite Series,"BRAUN, M",27,3,0,0,3,2,1,0,0,1,2,10,5,1.559
MATH,143,Calculus-Infinite Series,"BERMAN, G",20,0,1,1,0,1,1,2,1,2,0,9,1,1.3
MATH,151,Calc/Diff & Integtn,"SPITZ, H",35,1,3,1,2,0,4,1,1,5,0,7,10,1.996
MATH,151,Calc/Diff & Integtn,"SABITOVA, M",30,1,5,0,1,0,0,1,8,0,1,7,5,1.942
MATH,151,Calc/Diff & Integtn,"SPITZ, H",34,1,1,2,1,2,0,1,4,2,4,8,8,1.631
MATH,152,Calc/Integration & Infinite,"ZAKERI, S",32,2,2,2,2,2,5,2,3,1,0,5,6,2.377
MATH,152,Calc/Integration & Infinite,"MILLER, D",24,1,0,2,1,1,1,1,1,0,1,4,11,1.977
MATH,152,Calc/Integration & Infinite,"NEVAREZ, B",32,1,1,1,2,1,0,2,2,0,2,5,15,1.876
